category	value	files	count
border-radius	999px	9	33
border-radius	14px	8	24
border-radius	18px	6	21
border-radius	16px	6	20
border-radius	24px	4	4
border-radius	12px	2	7
border-radius	20px	2	4
color	#1d4ed8	4	5
color	1px solid rgba(189, 205, 231, 0.42)	3	9
color	#0f172a	3	8
color	#0f766e	3	6
color	#fffdf8	3	4
color	#ffffff	3	4
color	#e2e8f0	3	3
color	#f8fbff	3	3
color	rgba(37, 99, 235, 0.12)	3	3
color	#475569	2	6
color	rgba(71, 120, 214, 0.32)	2	6
color	#24364f	2	5
color	#eef5ff	2	5
color	transparent	2	4
color	#20486a	2	3
color	#334155	2	3
color	#edf6ff	2	3
color	#edf8f2	2	3
color	#edf9f3	2	3
color	#f0f6ff	2	3
color	#ffeee7	2	3
color	#fff6e2	2	3
color	1px dashed rgba(46, 83, 140, 0.16)	2	3
color	rgba(148, 163, 184, 0.2)	2	3
color	rgba(217, 93, 57, 0.28)	2	3
color	rgba(255, 255, 255, 0.72)	2	3
color	rgba(37, 99, 235, 0.24)	2	3
color	rgba(47, 122, 95, 0.16)	2	3
color	#1f5d47	2	2
color	#2b6b55	2	2
color	#8a5d00	2	2
color	#9a4029	2	2
color	#9f2d1f	2	2
color	#d8e5fb	2	2
color	#edf5ff	2	2
color	#eef8f2	2	2
color	#f4f8ff	2	2
color	#fff2ee	2	2
color	1px solid rgba(58, 92, 132, 0.14)	2	2
color	1px solid rgba(71, 120, 214, 0.14)	2	2
color	rgba(15, 118, 110, 0.12)	2	2
color	rgba(184, 129, 34, 0.18)	2	2
color	rgba(186, 72, 44, 0.18)	2	2
color	rgba(217, 93, 57, 0.2)	2	2
color	rgba(236, 244, 255, 0.72)	2	2
color	rgba(47, 122, 95, 0.24)	2	2
color	rgba(71, 120, 214, 0.22)	2	2
transition	transform 0.18s ease, border-color 0.18s ease, background-color 0.18s ease	4	6
transition	transform 0.18s ease, background-color 0.18s ease, opacity 0.18s ease	2	2
z-index	1	2	6
z-index	12	2	2
z-index	2	2	2
