column,dtype,null_ratio,unique_count,unique_ratio,dominant_ratio,variance,drop_null,drop_constant,low_variance,almost_constant,candidate_to_drop,drop_reasons
Номер решения,object,1.0,0,0.0,1.0,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
Номер документа ПМ,object,1.0,0,0.0,1.0,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
Дата ПМ,str,1.0,1,0.0023,1.0,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
П#1 УГ#4,object,1.0,0,0.0,1.0,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
П#2 УГ#3,object,1.0,0,0.0,1.0,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
П#2 УГ#4,object,1.0,0,0.0,1.0,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
Т#1 УТ#2,object,1.0,0,0.0,1.0,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
Т#2 УТ#2,object,1.0,0,0.0,1.0,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
C#3 Тип,object,1.0,0,0.0,1.0,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
C#3 Количество,object,1.0,0,0.0,1.0,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
C#4 Тип,object,1.0,0,0.0,1.0,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
C#4 Количество,object,1.0,0,0.0,1.0,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
"ДОПК#190
район города",object,1.0,0,0.0,1.0,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
Unnamed: 269,object,1.0,0,0.0,1.0,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
Кто возбудил уголовное дело,str,0.9977,2,0.0046,0.9977,1.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
"Список статей УК, по которым возбу",str,0.9977,1,0.0023,0.9977,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
Дата сверки,str,0.9977,2,0.0046,0.9977,1.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
ПМ проводилось,str,0.9977,2,0.0046,0.9977,1.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
Дата КНМ,str,0.9977,2,0.0046,0.9977,1.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
П#1 УГ#3,str,0.9977,1,0.0023,0.9977,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
П#2 ФИО,str,0.9977,1,0.0023,0.9977,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
А#1 VIN,str,0.9977,1,0.0023,0.9977,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
Т#4 Тип,str,0.9977,1,0.0023,0.9977,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
Т#4 Количество,float64,0.9977,1,0.0023,0.9977,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
ИВ#2 Тип,str,0.9977,1,0.0023,0.9977,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
ИВ#2 Количество,float64,0.9977,1,0.0023,0.9977,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
СППЗ#1 Вид установки пожарной авто,str,0.9977,1,0.0023,0.9977,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
СППЗ#1 Соответствие требованиям НП,str,0.9977,1,0.0023,0.9977,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
СППЗ#1 Обслуживались,str,0.9977,1,0.0023,0.9977,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
СППЗ#1 Результат работы,str,0.9977,1,0.0023,0.9977,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
УК#1,str,0.9977,1,0.0023,0.9977,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
ППИО#1 Комментарий,str,0.9977,1,0.0023,0.9977,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
ПСПТ#2 Тип,str,0.9977,1,0.0023,0.9977,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
Unnamed: 272,float64,0.9977,1,0.0023,0.9977,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
П#2 сотрудник ПО,str,0.9954,1,0.0023,0.9954,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
П#2 дата рождения,str,0.9954,2,0.0046,0.9954,1.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
П#2 возраст,str,0.9954,2,0.0046,0.9954,1.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
П#2 пол,str,0.9954,1,0.0023,0.9954,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
П#2 образование,str,0.9954,1,0.0023,0.9954,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
П#2 гражданство,str,0.9954,2,0.0046,0.9954,1.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
П#2 социальное положение,str,0.9954,2,0.0046,0.9954,1.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
П#2 социальный статус семьи,str,0.9954,2,0.0046,0.9954,1.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
П#2 причина гибели,str,0.9954,1,0.0023,0.9954,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
П#2 место гибели,str,0.9954,1,0.0023,0.9954,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
П#2 момент наступления смерти,str,0.9954,2,0.0046,0.9954,1.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
П#2 УГ#1,str,0.9954,2,0.0046,0.9954,1.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
П#2 УГ#2,str,0.9954,2,0.0046,0.9954,1.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
УСРП#2,str,0.9954,2,0.0046,0.9954,1.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
СПТ#2 Тип,str,0.9954,2,0.0046,0.9954,1.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
СПТ#2 Количество,float64,0.9954,1,0.0023,0.9954,0.0,True,True,True,True,True,"['Много пропусков', 'Константная колонка', 'Почти нет разброса', 'Почти всегда одно и то же значение']"
Unnamed: 267,str,0.9954,1,0.0023,0.9954,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
Unnamed: 268,str,0.9954,1,0.0023,0.9954,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
Unnamed: 270,str,0.9954,1,0.0023,0.9954,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
Unnamed: 271,float64,0.9954,2,0.0046,0.9954,312.5,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
Температура окружающей среды на м,str,0.9931,4,0.0092,0.9931,1.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
КНМ проводилось,str,0.9931,3,0.0069,0.9931,1.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
П#1 УГ#2,str,0.9931,3,0.0069,0.9931,1.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
Т#2 ФИО,str,0.9931,3,0.0069,0.9931,1.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
Т#2 сотрудник ПО,str,0.9931,1,0.0023,0.9931,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
Т#2 дата рождения,str,0.9931,3,0.0069,0.9931,1.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
Т#2 возраст,float64,0.9931,3,0.0069,0.9931,397.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
Т#2 пол,str,0.9931,2,0.0046,0.9931,1.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
Т#2 образование,str,0.9931,2,0.0046,0.9931,1.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
Т#2 гражданство,str,0.9931,1,0.0023,0.9931,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
Т#2 социальное положение,str,0.9931,2,0.0046,0.9931,1.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
Т#2 социальный статус семьи,str,0.9931,1,0.0023,0.9931,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
Т#2 вид травмы,str,0.9931,1,0.0023,0.9931,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
Т#2 место травмирования,str,0.9931,2,0.0046,0.9931,1.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
Т#2 УТ#1,str,0.9931,3,0.0069,0.9931,1.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
А#1 ГРЗ,str,0.9931,3,0.0069,0.9931,1.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
ПСПТ#2 Количество,str,0.9931,2,0.0046,0.9931,1.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
А#1 Марка-модель машины,str,0.9908,4,0.0092,0.9908,1.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
А#1 тип ТС,str,0.9908,2,0.0046,0.9908,1.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
C#2 Тип,str,0.9908,3,0.0069,0.9908,1.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
C#2 Количество,float64,0.9908,2,0.0046,0.9908,1.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
ППИО#1 Площадь уничтожено,float64,0.9908,3,0.0069,0.9908,4361.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
Т#3 Тип,str,0.9885,3,0.0069,0.9885,1.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
Т#3 Количество,float64,0.9885,4,0.0092,0.9885,18.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
ППИО#1 Площадь повреждено,float64,0.9862,5,0.0115,0.9862,224.16666666666669,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
П#1 ФИО,str,0.9839,7,0.0161,0.9839,1.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
П#1 сотрудник ПО,str,0.9839,1,0.0023,0.9839,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
П#1 дата рождения,str,0.9839,7,0.0161,0.9839,1.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
П#1 возраст,float64,0.9839,7,0.0161,0.9839,277.14285714285717,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
П#1 пол,str,0.9839,2,0.0046,0.9839,1.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
П#1 образование,str,0.9839,3,0.0069,0.9839,1.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
П#1 гражданство,str,0.9839,1,0.0023,0.9839,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
П#1 социальное положение,str,0.9839,2,0.0046,0.9839,1.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
П#1 социальный статус семьи,str,0.9839,2,0.0046,0.9839,1.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
П#1 причина гибели,str,0.9839,3,0.0069,0.9839,1.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
П#1 место гибели,str,0.9839,2,0.0046,0.9839,1.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
П#1 момент наступления смерти,str,0.9839,1,0.0023,0.9839,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
П#1 УГ#1,str,0.9839,4,0.0092,0.9839,1.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
ППИО#1 Вид объекта,str,0.9816,1,0.0023,0.9816,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
ППИО#1 Категория объекта,str,0.9816,1,0.0023,0.9816,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
ППИО#1 Состояние объекта,str,0.9816,2,0.0046,0.9816,1.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
А#1 Собственник,str,0.9793,9,0.0207,0.9793,1.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
Т#1 УТ#1,str,0.977,4,0.0092,0.977,1.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
Т#1 ФИО,str,0.9724,12,0.0276,0.9724,1.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
Т#1 сотрудник ПО,str,0.9724,1,0.0023,0.9724,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
Т#1 дата рождения,str,0.9724,10,0.023,0.9724,1.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
Т#1 возраст,float64,0.9724,12,0.0276,0.9724,708.2727272727273,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
Т#1 пол,str,0.9724,2,0.0046,0.9724,1.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
Т#1 образование,str,0.9724,5,0.0115,0.9724,1.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
Т#1 гражданство,str,0.9724,1,0.0023,0.9724,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
Т#1 социальное положение,str,0.9724,3,0.0069,0.9724,1.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
Т#1 социальный статус семьи,str,0.9724,2,0.0046,0.9724,1.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
Т#1 вид травмы,str,0.9724,1,0.0023,0.9724,1.0,True,True,False,True,True,"['Много пропусков', 'Константная колонка', 'Почти всегда одно и то же значение']"
Т#1 место травмирования,str,0.9724,7,0.0161,0.9724,1.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
УТП#3,str,0.9678,4,0.0092,0.9678,1.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
Т#2 Тип,str,0.9678,5,0.0115,0.9678,1.0,True,False,False,True,True,"['Много пропусков', 'Почти всегда одно и то же значение']"
