column,dtype,null_ratio,unique_count,unique_ratio,dominant_ratio,variance,drop_null,drop_constant,low_variance,almost_constant,candidate_to_drop
"Зерновые и зернобобовые, уничтоже",int64,0.0,1,0.0043,1.0,0.0,False,True,True,True,True
П#1 ФИО,str,0.9784,5,0.0216,0.9784,,True,False,False,True,True
П#1 дата рождения,str,0.9784,5,0.0216,0.9784,,True,False,False,True,True
П#1 возраст,float64,0.9784,5,0.0216,0.9784,338.8,True,False,False,True,True
П#1 пол,str,0.9784,1,0.0043,0.9784,,True,True,False,True,True
П#1 образование,str,0.9784,1,0.0043,0.9784,,True,True,False,True,True
П#1 гражданство,str,0.9784,2,0.0086,0.9784,,True,False,False,True,True
П#1 социальное положение,str,0.9784,3,0.0129,0.9784,,True,False,False,True,True
П#1 социальный статус семьи,str,0.9784,2,0.0086,0.9784,,True,False,False,True,True
П#1 причина гибели,str,0.9784,4,0.0172,0.9784,,True,False,False,True,True
П#1 место гибели,str,0.9784,3,0.0129,0.9784,,True,False,False,True,True
П#1 момент наступления смерти,str,0.9784,2,0.0086,0.9784,,True,False,False,True,True
П#1 УГ#1,str,0.9784,4,0.0172,0.9784,,True,False,False,True,True
П#1 УГ#2,str,0.9957,1,0.0043,0.9957,,True,True,False,True,True
Т#1 ФИО,str,0.9871,3,0.0129,0.9871,,True,False,False,True,True
Т#1 сотрудник ПО,str,0.9871,1,0.0043,0.9871,,True,True,False,True,True
Т#1 дата рождения,str,0.9871,3,0.0129,0.9871,,True,False,False,True,True
Т#1 возраст,float64,0.9871,3,0.0129,0.9871,72.33333333333334,True,False,False,True,True
Т#1 пол,str,0.9871,2,0.0086,0.9871,,True,False,False,True,True
Т#1 образование,str,0.9871,2,0.0086,0.9871,,True,False,False,True,True
Т#1 гражданство,str,0.9871,1,0.0043,0.9871,,True,True,False,True,True
Т#1 социальное положение,str,0.9871,2,0.0086,0.9871,,True,False,False,True,True
Т#1 социальный статус семьи,str,0.9871,1,0.0043,0.9871,,True,True,False,True,True
Т#1 вид травмы,str,0.9871,1,0.0043,0.9871,,True,True,False,True,True
